"id","artist","artist_wikilink","birthplace","residence","birthyear"
"2003_2_7","Aleena","sv.wikipedia.org/wiki/Aleena_Gibson","","",""
"2003_2_8","Alcazar","sv.wikipedia.org/wiki/Alcazar_(musikgrupp)","","",""
"2003_3_2","Shanna Smith","","","",""
"2003_3_3","Nanne Grönvall","sv.wikipedia.org/wiki/Nanne_Gr%C3%B6nvall","","",""
"2003_3_4","Sarek","sv.wikipedia.org/wiki/Sarek_(musikgrupp)","","",""
"2003_3_5","Sofia Källgren & Robert Wells","sv.wikipedia.org/wiki/Sofia_K%C3%A4llgren & sv.wikipedia.org/wiki/Robert_Wells","","",""
"2003_3_6","Liverpool","sv.wikipedia.org/wiki/Liverpool_(musikgrupp)","","",""
"2003_3_7","Shirley Clamp","sv.wikipedia.org/wiki/Shirley_Clamp","","",""
"2003_3_8","Style","sv.wikipedia.org/wiki/Style","","",""
"2003_4_1","Sahlene","sv.wikipedia.org/wiki/Anna_Sahlin","","",""
"2003_4_2","Fernando Brito","","","",""
"2003_4_3","Bubbles","sv.wikipedia.org/wiki/Bless","","",""
"2003_4_4","Maarja","sv.wikipedia.org/wiki/Maarja","","",""
"2003_4_6","Lina Hedlund","sv.wikipedia.org/wiki/Lina_Hedlund","","",""
"2003_4_7","Mikael Erlandsson","","","",""
"2003_4_8","Afro-dite","sv.wikipedia.org/wiki/Afro-dite","","",""
"2004_1_1","Nina & Kim","sv.wikipedia.org/wiki/Nina_%26_Kim","","",""
"2004_1_2","Joachim Bergström","","","",""
"2004_1_4","Karl Martindahl","sv.wikipedia.org/wiki/Karl_Martindahl","","",""
"2004_1_5","LaGaylia Frazier","sv.wikipedia.org/wiki/LaGaylia_Frazier","","",""
"2004_1_6","Sara Löfgren","sv.wikipedia.org/wiki/Sara_L%C3%B6fgren","","",""
"2004_1_8","Petra Nielsen","sv.wikipedia.org/wiki/Petra_Nielsen","","",""
"2004_2_1","Fredrik Kempe","sv.wikipedia.org/wiki/Fredrik_Kempe","","",""
"2004_2_2","Baccara","sv.wikipedia.org/wiki/Baccara","","",""
"2004_2_4","Jennifer Escola","","","",""
"2004_2_5","Pay TV","sv.wikipedia.org/wiki/Pay_TV","","",""
"2004_2_6","Anne-Lie Rydé","sv.wikipedia.org/wiki/Anne-Lie_Ryd%C3%A9","","",""
"2004_2_7","LaRoxx","sv.wikipedia.org/wiki/LaRoxx","","",""
"2004_2_8","E-Type","sv.wikipedia.org/wiki/E-Type","","",""
"2004_3_2","Emil Sigfridsson","sv.wikipedia.org/wiki/Emil_Sigfridsson","","",""
"2004_3_3","Gladys del Pilar","sv.wikipedia.org/wiki/Gladys_del_Pilar","","",""
"2004_3_4","Sandra Dahlberg","sv.wikipedia.org/wiki/Sandra_Dahlberg","","",""
"2004_3_5","Itchycoo","sv.wikipedia.org/wiki/Itchycoo","","",""
"2004_3_6","Hanson & Carson & Malmkvist","sv.wikipedia.org/wiki/Ann-Louise_Hanson & sv.wikipedia.org/wiki/Towa_Carson & sv.wikipedia.org/wiki/Siw_Malmkvist","","",""
"2004_3_7","Autolove","","","",""
"2004_3_8","Bosson","sv.wikipedia.org/wiki/Bosson","","",""
"2004_4_1","Lena Philipsson","sv.wikipedia.org/wiki/Lena_Philipsson","","",""
"2004_4_2","Anders Borgius","","","",""
"2004_4_3","Lotta Nilsson & Glenn Borgkvist","sv.wikipedia.org/wiki/Lotta_Nilsson & sv.wikipedia.org/wiki/Glenn_Borgkvist","","",""
"2004_4_4","After Dark","sv.wikipedia.org/wiki/After_Dark","","",""
"2004_4_6","Fre","sv.wikipedia.org/wiki/Fre","","",""
"2005_1_2","Cecilia Vennersten","sv.wikipedia.org/wiki/Cecilia_Vennersten","","",""
"2005_1_3","Papa Dee","sv.wikipedia.org/wiki/Papa_Dee","","",""
"2005_1_4","Linda Bengtzing","sv.wikipedia.org/wiki/Linda_Bengtzing","","",""
"2005_1_5","The Wallstones","sv.wikipedia.org/wiki/The_Wallstones","","",""
"2005_1_7","Nordman","sv.wikipedia.org/wiki/Nordman_(musikgrupp)","","",""
"2005_2_1","Fredrik Kempe & Sanna Nielsen","sv.wikipedia.org/wiki/Fredrik_Kempe & sv.wikipedia.org/wiki/Sanna_Nielsen","","",""
"2005_2_2","Camilla Brinck","sv.wikipedia.org/wiki/Camilla_Brinck","","",""
"2005_2_3","Group Avalon","sv.wikipedia.org/wiki/Group_Avalon","","",""
"2005_2_4","Arja Saijonmaa","sv.wikipedia.org/wiki/Arja_Saijonmaa","","",""
"2005_2_5","Josefin Nilsson","sv.wikipedia.org/wiki/Josefin_Nilsson","","",""
"2005_2_6","Cameron Cartio","sv.wikipedia.org/wiki/Cameron_Cartio","","",""
"2005_2_7","Bodies Without Organs","sv.wikipedia.org/wiki/Bodies_Without_Organs","","",""
"2005_2_8","Sanne Salomonsen","sv.wikipedia.org/wiki/Sanne_Salomonsen","","",""
"2005_3_1","NaNa","sv.wikipedia.org/wiki/Nana_Hedin","","",""
"2005_3_2","Kwanzaa","","","",""
"2005_3_3","Jimmy Jansson","sv.wikipedia.org/wiki/Jimmy_Jansson","","",""
"2005_3_4","LaGaylia","sv.wikipedia.org/wiki/LaGaylia_Frazer","","",""
"2005_3_5","Josef","sv.wikipedia.org/wiki/Josef_%C3%96zer","","",""
